pathway,overlap,gene_set_size,pathway_size,p_value
N ACETYLGLUCOSAMINE METABOLIC PROCESS,1,191,2,0.0955382906421102
RIBONUCLEOSIDE CATABOLIC PROCESS,1,191,2,0.0955382906421102
CYTOSKELETON DEPENDENT CYTOKINESIS,1,191,2,0.0955382906421102
TERMINATION OF RNA POLYMERASE I TRANSCRIPTION,1,191,2,0.0955382906421102
PROTEIN SULFATION,1,191,2,0.0955382906421102
REGULATION OF MESODERMAL CELL DIFFERENTIATION,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF VIRAL TRANSCRIPTION,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF MACROPHAGE MIGRATION,1,191,2,0.0955382906421102
REGULATION OF VIRAL TRANSCRIPTION,1,191,2,0.0955382906421102
POSITIVE REGULATION OF INTERLEUKIN 1 ALPHA PRODUCTION,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF INTERLEUKIN 13 PRODUCTION,1,191,2,0.0955382906421102
CELLULAR RESPONSE TO BILE ACID,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF HEMATOPOIETIC STEM CELL DIFFERENTIATION,1,191,2,0.0955382906421102
REGULATION OF CALCIUM ION DEPENDENT EXOCYTOSIS OF NEUROTRANSMITTER,1,191,2,0.0955382906421102
GLYCINE IMPORT ACROSS PLASMA MEMBRANE,1,191,2,0.0955382906421102
SULFUR AMINO ACID METABOLIC PROCESS,1,191,2,0.0955382906421102
MITOTIC CYTOKINESIS,1,191,2,0.0955382906421102
REGULATION OF PROTEIN EXPORT FROM NUCLEUS,1,191,2,0.0955382906421102
PHAGOLYSOSOME ASSEMBLY,1,191,2,0.0955382906421102
REGULATION OF MICROVILLUS LENGTH,1,191,2,0.0955382906421102
RESPONSE TO OLEIC ACID,1,191,2,0.0955382906421102
ETHER BIOSYNTHETIC PROCESS,1,191,2,0.0955382906421102
CEMENTUM MINERALIZATION,1,191,2,0.0955382906421102
ENDOSOME TO LYSOSOME TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY,1,191,2,0.0955382906421102
REGULATION OF BONE MINERALIZATION INVOLVED IN BONE MATURATION,1,191,2,0.0955382906421102
REGULATION OF BONE MINERALIZATION,4,191,36,0.09691604666461252
DEFENSE RESPONSE TO SYMBIONT,16,191,231,0.09790441631055445
VENTRICULAR SYSTEM DEVELOPMENT,2,191,11,0.09809066883540754
REGULATION OF FATTY ACID TRANSPORT,2,191,11,0.09809066883540754
NEGATIVE REGULATION OF TISSUE REMODELING,2,191,11,0.09809066883540754
THYROID HORMONE GENERATION,2,191,11,0.09809066883540754
